inspection_policy,exchange_loss,profit_no_final_test_strategy_0100,profit_final_test_strategy_0110,profit_diff_no_final_minus_final,best_strategy,best_profit
no_retest_known_good,10.0,11.987654320987659,11.864197530864203,0.12345679012345556,"(0, 1, 0, 0)",11.987654320987659
no_retest_known_good,10.25,11.929012345679013,11.864197530864203,0.06481481481480955,"(0, 1, 0, 0)",11.929012345679013
no_retest_known_good,10.5,11.870370370370374,11.864197530864203,0.0061728395061706465,"(0, 1, 0, 0)",11.870370370370374
no_retest_known_good,10.526315789473646,11.864197530864203,11.864197530864203,0.0,"(0, 1, 0, 0)",11.864197530864203
no_retest_known_good,10.53,11.863333333333337,11.864197530864203,-0.0008641975308663064,"(0, 1, 1, 0)",11.864197530864203
no_retest_known_good,10.75,11.811728395061735,11.864197530864203,-0.05246913580246826,"(0, 1, 1, 0)",11.864197530864203
no_retest_known_good,11.0,11.753086419753089,11.864197530864203,-0.11111111111111427,"(0, 1, 1, 0)",11.864197530864203
retest_known_good,10.0,11.987654320987659,11.864197530864203,0.12345679012345556,"(0, 1, 0, 0)",11.987654320987659
retest_known_good,10.25,11.929012345679013,11.864197530864203,0.06481481481480955,"(0, 1, 0, 0)",11.929012345679013
retest_known_good,10.5,11.870370370370374,11.864197530864203,0.0061728395061706465,"(0, 1, 0, 0)",11.870370370370374
retest_known_good,10.526315789473646,11.864197530864203,11.864197530864203,0.0,"(0, 1, 0, 0)",11.864197530864203
retest_known_good,10.53,11.863333333333337,11.864197530864203,-0.0008641975308663064,"(0, 1, 1, 0)",11.864197530864203
retest_known_good,10.75,11.811728395061735,11.864197530864203,-0.05246913580246826,"(0, 1, 1, 0)",11.864197530864203
retest_known_good,11.0,11.753086419753089,11.864197530864203,-0.11111111111111427,"(0, 1, 1, 0)",11.864197530864203
