inspection_policy,case_id,d1_test_part1,d2_test_part2,df_test_final,dr_disassemble,feasible,infeasible_reason,state_count,success_probability,expected_cost,expected_profit,market_defect_rate,expected_exchange_count,expected_disassembly_count,expected_assembly_count,expected_purchase_cost,expected_part_test_cost,expected_assembly_cost,expected_final_test_cost,expected_exchange_loss_cost,expected_disassembly_cost
no_retest_known_good,1,0,0,0,0,True,,2,1.0,40.639231824417,15.360768175582997,0.2709999999999999,0.37174211248285305,0.0,1.371742112482853,30.178326474622768,0.0,8.23045267489712,0.0,2.2304526748971183,0.0
no_retest_known_good,1,0,0,0,1,False,singular linear system,15,0.0,inf,-inf,,,,,,,,,,
no_retest_known_good,1,0,0,1,0,True,,2,1.0,42.52400548696845,13.475994513031551,0.0,0.0,0.0,1.371742112482853,30.178326474622768,0.0,8.23045267489712,4.11522633744856,0.0,0.0
no_retest_known_good,1,0,0,1,1,False,singular linear system,15,0.0,inf,-inf,,,,,,,,,,
no_retest_known_good,1,0,1,0,0,True,,2,1.0,42.559670781893004,13.440329218106996,0.18999999999999995,0.23456790123456783,0.0,1.2345679012345678,29.629629629629626,4.11522633744856,7.4074074074074066,0.0,1.407407407407407,0.0
no_retest_known_good,1,0,1,0,1,False,singular linear system,16,0.0,inf,-inf,,,,,,,,,,
no_retest_known_good,1,0,1,1,0,True,,2,1.0,44.855967078189295,11.144032921810705,0.0,0.0,0.0,1.2345679012345678,29.629629629629626,4.11522633744856,7.4074074074074066,3.7037037037037033,0.0,0.0
no_retest_known_good,1,0,1,1,1,False,singular linear system,16,0.0,inf,-inf,,,,,,,,,,
no_retest_known_good,1,1,0,0,0,True,,2,1.0,39.26748971193416,16.73251028806584,0.18999999999999995,0.23456790123456783,0.0,1.2345679012345678,27.709190672153632,2.7434842249657065,7.4074074074074066,0.0,1.407407407407407,0.0
no_retest_known_good,1,1,0,0,1,False,singular linear system,16,0.0,inf,-inf,,,,,,,,,,
no_retest_known_good,1,1,0,1,0,True,,2,1.0,41.56378600823045,14.436213991769549,0.0,0.0,0.0,1.2345679012345678,27.709190672153632,2.7434842249657065,7.4074074074074066,3.7037037037037033,0.0,0.0
no_retest_known_good,1,1,0,1,1,False,singular linear system,16,0.0,inf,-inf,,,,,,,,,,
no_retest_known_good,1,1,1,0,0,True,,2,1.0,40.66666666666667,15.333333333333329,0.09999999999999996,0.11111111111111108,0.0,1.1111111111111112,27.160493827160494,6.17283950617284,6.666666666666666,0.0,0.6666666666666665,0.0
no_retest_known_good,1,1,1,0,1,True,,3,1.0,37.88888888888889,18.111111111111107,0.09999999999999996,0.11111111111111108,0.11111111111111108,1.1111111111111112,24.444444444444443,5.555555555555556,6.666666666666666,0.0,0.6666666666666665,0.5555555555555555
no_retest_known_good,1,1,1,1,0,True,,2,1.0,43.33333333333333,12.666666666666671,0.0,0.0,0.0,1.1111111111111112,27.160493827160494,6.17283950617284,6.666666666666666,3.333333333333333,0.0,0.0
no_retest_known_good,1,1,1,1,1,True,,3,1.0,40.55555555555556,15.444444444444443,0.0,0.0,0.11111111111111108,1.1111111111111112,24.444444444444443,5.555555555555556,6.666666666666666,3.333333333333333,0.0,0.5555555555555555
no_retest_known_good,2,0,0,0,0,True,,2,1.0,60.40625,-4.40625,0.488,0.953125,0.0,1.953125,42.96875,0.0,11.71875,0.0,5.71875,0.0
no_retest_known_good,2,0,0,0,1,False,singular linear system,20,0.0,inf,-inf,,,,,,,,,,
no_retest_known_good,2,0,0,1,0,True,,2,1.0,60.546875,-4.546875,0.0,0.0,0.0,1.953125,42.96875,0.0,11.71875,5.859375,0.0,0.0
no_retest_known_good,2,0,0,1,1,False,singular linear system,20,0.0,inf,-inf,,,,,,,,,,
no_retest_known_good,2,0,1,0,0,True,,2,1.0,60.01562499999999,-4.015624999999993,0.3599999999999999,0.5624999999999997,0.0,1.5624999999999998,41.40624999999999,5.859374999999999,9.374999999999998,0.0,3.3749999999999982,0.0
no_retest_known_good,2,0,1,0,1,False,singular linear system,21,0.0,inf,-inf,,,,,,,,,,
no_retest_known_good,2,0,1,1,0,True,,2,1.0,61.32812499999999,-5.328124999999993,0.0,0.0,0.0,1.5624999999999998,41.40624999999999,5.859374999999999,9.374999999999998,4.687499999999999,0.0,0.0
no_retest_known_good,2,0,1,1,1,False,singular linear system,21,0.0,inf,-inf,,,,,,,,,,
no_retest_known_good,2,1,0,0,0,True,,2,1.0,52.59374999999999,3.406250000000007,0.3599999999999999,0.5624999999999997,0.0,1.5624999999999998,35.93749999999999,3.906249999999999,9.374999999999998,0.0,3.3749999999999982,0.0
no_retest_known_good,2,1,0,0,1,False,singular linear system,21,0.0,inf,-inf,,,,,,,,,,
no_retest_known_good,2,1,0,1,0,True,,2,1.0,53.906249999999986,2.093750000000014,0.0,0.0,0.0,1.5624999999999998,35.93749999999999,3.906249999999999,9.374999999999998,4.687499999999999,0.0,0.0
no_retest_known_good,2,1,0,1,1,False,singular linear system,21,0.0,inf,-inf,,,,,,,,,,
no_retest_known_good,2,1,1,0,0,True,,2,1.0000000000000002,51.1875,4.8125,0.2,0.25,0.0,1.2500000000000002,34.375,7.812500000000002,7.500000000000002,0.0,1.5000000000000002,0.0
no_retest_known_good,2,1,1,0,1,True,,3,1.0000000000000002,44.0,12.0,0.2,0.25,0.25,1.2500000000000002,27.5,6.250000000000002,7.500000000000002,0.0,1.5,1.25
no_retest_known_good,2,1,1,1,0,True,,2,1.0000000000000002,53.43750000000001,2.562499999999993,0.0,0.0,0.0,1.2500000000000002,34.375,7.812500000000002,7.500000000000002,3.750000000000001,0.0,0.0
no_retest_known_good,2,1,1,1,1,True,,3,1.0000000000000002,46.25,9.75,0.0,0.0,0.25,1.2500000000000002,27.5,6.250000000000002,7.500000000000002,3.750000000000001,0.0,1.25
no_retest_known_good,3,0,0,0,0,True,,2,1.0,49.56104252400547,6.438957475994528,0.2709999999999999,0.37174211248285305,0.0,1.371742112482853,30.178326474622768,0.0,8.23045267489712,0.0,11.152263374485592,0.0
