inspection_policy,case_id,d1_test_part1,d2_test_part2,df_test_final,dr_disassemble,feasible,infeasible_reason,state_count,success_probability,expected_cost,expected_profit,market_defect_rate,expected_exchange_count,expected_disassembly_count,expected_assembly_count,expected_purchase_cost,expected_part_test_cost,expected_assembly_cost,expected_final_test_cost,expected_exchange_loss_cost,expected_disassembly_cost
no_retest_known_good,1,1,1,0,1,True,,3,1.0,37.88888888888889,18.111111111111107,0.09999999999999996,0.11111111111111108,0.11111111111111108,1.1111111111111112,24.444444444444443,5.555555555555556,6.666666666666666,0.0,0.6666666666666665,0.5555555555555555
no_retest_known_good,2,1,1,0,1,True,,3,1.0000000000000002,44.0,12.0,0.2,0.25,0.25,1.2500000000000002,27.5,6.250000000000002,7.500000000000002,0.0,1.5,1.25
no_retest_known_good,3,1,1,0,1,True,,3,1.0,40.55555555555556,15.444444444444443,0.09999999999999996,0.11111111111111108,0.11111111111111108,1.1111111111111112,24.444444444444443,5.555555555555556,6.666666666666666,0.0,3.333333333333332,0.5555555555555555
no_retest_known_good,4,1,1,1,1,True,,3,1.0000000000000002,41.25,14.75,0.0,0.0,0.25,1.2500000000000002,27.5,2.5000000000000004,7.500000000000002,2.5000000000000004,0.0,1.25
no_retest_known_good,5,0,1,0,0,True,,2,1.0,44.01234567901234,11.987654320987659,0.18999999999999995,0.23456790123456783,0.0,1.2345679012345678,32.71604938271605,1.5432098765432098,7.4074074074074066,0.0,2.3456790123456783,0.0
no_retest_known_good,6,0,0,0,0,True,,2,1.0,34.3213296398892,21.6786703601108,0.1426250000000001,0.16635077999708428,0.0,1.1663507799970843,25.659717159935855,0.0,6.9981046799825055,0.0,1.6635077999708427,0.0
retest_known_good,1,1,1,0,1,True,,3,1.0,38.44444444444444,17.555555555555557,0.09999999999999996,0.11111111111111108,0.11111111111111108,1.1111111111111112,24.444444444444443,6.111111111111112,6.666666666666666,0.0,0.6666666666666665,0.5555555555555555
retest_known_good,2,1,1,0,1,True,,3,1.0000000000000002,45.25,10.75,0.2,0.25,0.25,1.2500000000000002,27.5,7.500000000000002,7.500000000000002,0.0,1.5,1.25
retest_known_good,3,1,1,0,1,True,,3,1.0,41.111111111111114,14.888888888888886,0.09999999999999996,0.11111111111111108,0.11111111111111108,1.1111111111111112,24.444444444444443,6.111111111111112,6.666666666666666,0.0,3.333333333333332,0.5555555555555555
retest_known_good,4,1,1,1,1,True,,3,1.0000000000000002,41.75,14.25,0.0,0.0,0.25,1.2500000000000002,27.5,3.0000000000000004,7.500000000000002,2.5000000000000004,0.0,1.25
retest_known_good,5,0,1,0,0,True,,2,1.0,44.01234567901234,11.987654320987659,0.18999999999999995,0.23456790123456783,0.0,1.2345679012345678,32.71604938271605,1.5432098765432098,7.4074074074074066,0.0,2.3456790123456783,0.0
retest_known_good,6,0,0,0,0,True,,2,1.0,34.3213296398892,21.6786703601108,0.1426250000000001,0.16635077999708428,0.0,1.1663507799970843,25.659717159935855,0.0,6.9981046799825055,0.0,1.6635077999708427,0.0
