inspection_policy,p1_p2_pf,profit_no_test_strategy_0000,profit_test_part1_strategy_1000,profit_diff_test_part1_minus_no_test,best_strategy,best_profit
no_retest_known_good,0.05,21.6786703601108,21.328765126111676,-0.34990523399912377,"(0, 0, 0, 0)",21.6786703601108
no_retest_known_good,0.055,20.971428334436084,20.817383220843368,-0.15404511359271567,"(0, 0, 0, 0)",20.971428334436084
no_retest_known_good,0.058,20.539847503296357,20.506350548825104,-0.03349695447125356,"(0, 0, 0, 0)",20.539847503296357
no_retest_known_good,0.05882352941084902,20.420410156349533,20.420410156354386,4.853006885241484e-12,"(1, 0, 0, 0)",20.420410156354386
no_retest_known_good,0.0588,20.42382845457194,20.422868956223624,-0.0009594983483154351,"(0, 0, 0, 0)",20.42382845457194
no_retest_known_good,0.059,20.394762019512797,20.40196284656235,0.007200827049551606,"(1, 0, 0, 0)",20.40196284656235
no_retest_known_good,0.06,20.249058493782684,20.297217379578704,0.048158885796020456,"(1, 0, 0, 0)",20.297217379578704
no_retest_known_good,0.065,19.511154188056253,19.76806623070121,0.2569120426449558,"(1, 0, 0, 0)",19.76806623070121
retest_known_good,0.05,21.6786703601108,21.328765126111676,-0.34990523399912377,"(0, 0, 0, 0)",21.6786703601108
retest_known_good,0.055,20.971428334436084,20.817383220843368,-0.15404511359271567,"(0, 0, 0, 0)",20.971428334436084
retest_known_good,0.058,20.539847503296357,20.506350548825104,-0.03349695447125356,"(0, 0, 0, 0)",20.539847503296357
retest_known_good,0.05882352941084902,20.420410156349533,20.420410156354386,4.853006885241484e-12,"(1, 0, 0, 0)",20.420410156354386
retest_known_good,0.0588,20.42382845457194,20.422868956223624,-0.0009594983483154351,"(0, 0, 0, 0)",20.42382845457194
retest_known_good,0.059,20.394762019512797,20.40196284656235,0.007200827049551606,"(1, 0, 0, 0)",20.40196284656235
retest_known_good,0.06,20.249058493782684,20.297217379578704,0.048158885796020456,"(1, 0, 0, 0)",20.297217379578704
retest_known_good,0.065,19.511154188056253,19.76806623070121,0.2569120426449558,"(1, 0, 0, 0)",19.76806623070121
