strategy_id,strategy,test_p1,test_p2,test_p3,test_p4,test_p5,test_p6,test_p7,test_p8,test_s1,test_s2,test_s3,test_final,disassemble_s1,disassemble_s2,disassemble_s3,disassemble_final,feasible,expected_cost,expected_profit,root_good_probability_before_market_or_test,purchase_cost,part_test_cost,assembly_cost,product_test_cost,disassembly_cost,exchange_loss_cost
65505,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_p8;test_s1;test_s2;test_s3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,True,160.65843621399176,39.34156378600824,1.0,87.79149519890261,15.089163237311388,38.51851851851852,14.814814814814817,0.0,4.444444444444443
65249,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_s1;test_s2;test_s3,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,True,160.93278463648835,39.06721536351165,1.0,89.01082152110959,12.498094802621553,39.61591220850481,15.363511659807958,0.0,4.444444444444443
57313,test_p1;test_p2;test_p4;test_p5;test_p6;test_p7;test_p8;test_s1;test_s2;test_s3,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,True,161.39003200731597,38.609967992684034,1.0,89.31565310166134,12.650510592897426,39.61591220850481,15.363511659807958,0.0,4.444444444444443
64481,test_p1;test_p2;test_p3;test_p4;test_p5;test_p7;test_p8;test_s1;test_s2;test_s3,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,True,161.39003200731597,38.609967992684034,1.0,89.31565310166134,12.650510592897426,39.61591220850481,15.363511659807958,0.0,4.444444444444443
65507,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_p8;test_s1;test_s2;test_s3;disassemble_s3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,True,161.39917695473252,38.600823045267475,1.0,87.79149519890261,15.089163237311388,38.51851851851852,14.814814814814817,0.7407407407407406,4.444444444444443
65509,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_p8;test_s1;test_s2;test_s3;disassemble_s2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,True,161.39917695473252,38.600823045267475,1.0,87.79149519890261,15.089163237311388,38.51851851851852,14.814814814814817,0.7407407407407406,4.444444444444443
65513,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_p8;test_s1;test_s2;test_s3;disassemble_s1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,True,161.39917695473252,38.600823045267475,1.0,87.79149519890261,15.089163237311388,38.51851851851852,14.814814814814817,0.7407407407407406,4.444444444444443
57057,test_p1;test_p2;test_p4;test_p5;test_p6;test_p7;test_s1;test_s2;test_s3,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,True,161.66438042981255,38.33561957018745,1.0,90.53497942386832,10.059442158207592,40.713305898491086,15.912208504801098,0.0,4.444444444444443
64225,test_p1;test_p2;test_p3;test_p4;test_p5;test_p7;test_s1;test_s2;test_s3,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,True,161.66438042981255,38.33561957018745,1.0,90.53497942386832,10.059442158207592,40.713305898491086,15.912208504801098,0.0,4.444444444444443
65253,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_s1;test_s2;test_s3;disassemble_s2,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,True,161.67352537722908,38.32647462277092,1.0,89.01082152110959,12.498094802621553,39.61591220850481,15.363511659807958,0.7407407407407406,4.444444444444443
65257,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_s1;test_s2;test_s3;disassemble_s1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,True,161.67352537722908,38.32647462277092,1.0,89.01082152110959,12.498094802621553,39.61591220850481,15.363511659807958,0.7407407407407406,4.444444444444443
56289,test_p1;test_p2;test_p4;test_p5;test_p7;test_p8;test_s1;test_s2;test_s3,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,True,162.12162780064017,37.87837219935983,1.0,90.83981100442007,10.211857948483463,40.713305898491086,15.912208504801098,0.0,4.444444444444443
