sample_size,nominal_rate,nominal_rate_label,ci_width,ci_width_percent_points,source_row_count
100,0.05,5%,0.09640303192341064,9.640303192341063,3
368,0.05,5%,0.04696090445255755,4.696090445255755,3
400,0.05,5%,0.045361731611876704,4.53617316118767,3
1000,0.05,5%,0.02805509031083181,2.805509031083181,3
100,0.1,10%,0.12721790851853665,12.721790851853665,20
368,0.1,10%,0.06413388314614529,6.413388314614529,20
400,0.1,10%,0.06127156409664771,6.127156409664771,20
1000,0.1,10%,0.03818260216311248,3.8182602163112476,20
100,0.2,20%,0.16518713698667234,16.518713698667234,7
368,0.2,20%,0.08440931354821742,8.44093135482174,7
400,0.2,20%,0.08071484929384402,8.071484929384402,7
1000,0.2,20%,0.050538797990528406,5.05387979905284,7
