param_id,sample_size,assumed_defective_count,nominal_rate_from_table,point_estimate,ci_lower,ci_upper,ci_width,assumption_note
q3_p1,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p2,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p3,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p4,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p5,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p6,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p7,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p8,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_s1,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_s2,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_s3,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_final,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p1,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p2,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p3,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p4,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p5,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p6,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p7,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p8,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_s1,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_s2,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_s3,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_final,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p1,400,40,0.1,0.1,0.07240629419404179,0.1336778582906895,0.06127156409664772,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p2,400,40,0.1,0.1,0.07240629419404179,0.1336778582906895,0.06127156409664772,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p3,400,40,0.1,0.1,0.07240629419404179,0.1336778582906895,0.06127156409664772,"sample size and defective count are modeling assumptions, not data given by the problem"
q3_p4,400,40,0.1,0.1,0.07240629419404179,0.1336778582906895,0.06127156409664772,"sample size and defective count are modeling assumptions, not data given by the problem"
