param_id,sample_size,assumed_defective_count,nominal_rate_from_table,point_estimate,ci_lower,ci_upper,ci_width,assumption_note
q2_case1_p1,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case1_p2,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case1_pf,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case2_p1,100,20,0.2,0.2,0.1266555521019559,0.2918426890886282,0.1651871369866723,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case2_p2,100,20,0.2,0.2,0.1266555521019559,0.2918426890886282,0.1651871369866723,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case2_pf,100,20,0.2,0.2,0.1266555521019559,0.2918426890886282,0.1651871369866723,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case3_p1,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case3_p2,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case3_pf,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case4_p1,100,20,0.2,0.2,0.1266555521019559,0.2918426890886282,0.1651871369866723,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case4_p2,100,20,0.2,0.2,0.1266555521019559,0.2918426890886282,0.1651871369866723,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case4_pf,100,20,0.2,0.2,0.1266555521019559,0.2918426890886282,0.1651871369866723,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case5_p1,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case5_p2,100,20,0.2,0.2,0.1266555521019559,0.2918426890886282,0.1651871369866723,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case5_pf,100,10,0.1,0.1,0.049004689221486,0.17622259774002264,0.12721790851853665,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case6_p1,100,5,0.05,0.05,0.016431879182052155,0.11283491110546279,0.09640303192341063,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case6_p2,100,5,0.05,0.05,0.016431879182052155,0.11283491110546279,0.09640303192341063,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case6_pf,100,5,0.05,0.05,0.016431879182052155,0.11283491110546279,0.09640303192341063,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case1_p1,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case1_p2,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case1_pf,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case2_p1,368,74,0.2,0.20108695652173914,0.16132499994665284,0.24573431349487024,0.0844093135482174,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case2_p2,368,74,0.2,0.20108695652173914,0.16132499994665284,0.24573431349487024,0.0844093135482174,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case2_pf,368,74,0.2,0.20108695652173914,0.16132499994665284,0.24573431349487024,0.0844093135482174,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case3_p1,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case3_p2,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case3_pf,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case4_p1,368,74,0.2,0.20108695652173914,0.16132499994665284,0.24573431349487024,0.0844093135482174,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case4_p2,368,74,0.2,0.20108695652173914,0.16132499994665284,0.24573431349487024,0.0844093135482174,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case4_pf,368,74,0.2,0.20108695652173914,0.16132499994665284,0.24573431349487024,0.0844093135482174,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case5_p1,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case5_p2,368,74,0.2,0.20108695652173914,0.16132499994665284,0.24573431349487024,0.0844093135482174,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case5_pf,368,37,0.1,0.10054347826086957,0.0717842432976232,0.1359181264437685,0.06413388314614529,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case6_p1,368,18,0.05,0.04891304347826087,0.029243107178038373,0.07620401163059592,0.04696090445255755,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case6_p2,368,18,0.05,0.04891304347826087,0.029243107178038373,0.07620401163059592,0.04696090445255755,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case6_pf,368,18,0.05,0.04891304347826087,0.029243107178038373,0.07620401163059592,0.04696090445255755,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case1_p1,400,40,0.1,0.1,0.07240629419404179,0.1336778582906895,0.06127156409664772,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case1_p2,400,40,0.1,0.1,0.07240629419404179,0.1336778582906895,0.06127156409664772,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case1_pf,400,40,0.1,0.1,0.07240629419404179,0.1336778582906895,0.06127156409664772,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case2_p1,400,80,0.2,0.2,0.16189520044951378,0.24261004974335781,0.08071484929384404,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case2_p2,400,80,0.2,0.2,0.16189520044951378,0.24261004974335781,0.08071484929384404,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case2_pf,400,80,0.2,0.2,0.16189520044951378,0.24261004974335781,0.08071484929384404,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case3_p1,400,40,0.1,0.1,0.07240629419404179,0.1336778582906895,0.06127156409664772,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case3_p2,400,40,0.1,0.1,0.07240629419404179,0.1336778582906895,0.06127156409664772,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case3_pf,400,40,0.1,0.1,0.07240629419404179,0.1336778582906895,0.06127156409664772,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case4_p1,400,80,0.2,0.2,0.16189520044951378,0.24261004974335781,0.08071484929384404,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case4_p2,400,80,0.2,0.2,0.16189520044951378,0.24261004974335781,0.08071484929384404,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case4_pf,400,80,0.2,0.2,0.16189520044951378,0.24261004974335781,0.08071484929384404,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case5_p1,400,40,0.1,0.1,0.07240629419404179,0.1336778582906895,0.06127156409664772,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case5_p2,400,80,0.2,0.2,0.16189520044951378,0.24261004974335781,0.08071484929384404,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case5_pf,400,40,0.1,0.1,0.07240629419404179,0.1336778582906895,0.06127156409664772,"sample size and defective count are modeling assumptions, not data given by the problem"
